9.030719711863024912e+00,8.095971800267744101e+00,7.053058905700675041e+01,1.877796825026094325e+02,8.492823598293286480e+00,1.073022626485463427e+01,1.373838999980761777e+01,1.301737034692078510e+02
1.374914959996280039e+01,7.804057195127126256e+00,3.306076361011918863e+01,1.238675347911829903e+02,4.425318419791306468e+00,3.914362489477638096e+00,4.055699070162722464e+00,9.676142380915814911e+00
2.582017607197494513e+01,3.127056260012597022e+02,5.518522015074113440e+00,1.051332322928255003e+01,1.079071008925147765e+02,9.198412317598089771e+01,3.809580482643738719e+01,4.834790460691035463e+00
3.531005279025213550e+00,2.809691008866701978e+01,9.239847027492398013e+01,6.837291808836805984e+00,2.604146195320751644e+01,6.915963918630557039e+00,3.362980526417221938e+01,5.187234158375572113e-01
5.660919167371054073e+01,5.234211115340998513e+05,1.727376635364453023e+03,5.919281798272002248e+01,6.370243306327943600e+01,2.113109642086485707e+01,1.015614081453957240e+01,4.750706826226766211e+00
1.134247793834391160e+02,6.429193311139989930e+01,3.048051085607626121e+01,6.247884453005884097e+03,7.095956713047699793e+01,7.404129962051822986e+03,3.334266055043120502e+01,2.926780671303147585e+01
4.989499722668524839e+01,3.210408517669076645e+01,1.277265994488415934e+01,1.093163488922773467e+04,3.080374767202784642e+04,4.579372667438254751e+01,4.179251335544163481e+01,4.241364121911176710e+01
8.075539570109273768e+01,8.973636375733404691e+01,1.496120847065996315e+02,4.208666802445205235e+02,5.492923593250911836e+03,1.153264959824997362e+02,8.980474546183363316e+01,2.539127130065219973e+01
1.008390117311677869e+01,8.284740554004212498e+00,3.764927141932866306e+01,2.231472974954710864e+01,1.237274775331443522e+02,2.174629211648907656e+01,1.071612331560970830e+02,8.735300149884057674e+00
4.961873869448123919e+00,4.393489470144237075e+00,4.444824762639358440e+00,3.569243742788585649e+01,3.210641393130373444e+01,2.954765744610483580e+01,5.310608472926265478e+01,3.472748891190942988e+00
3.381242846301125269e+02,4.724576910154662523e-01,4.554149739315567769e-01,1.053110559859577799e+00,1.545941172070527669e-01,3.809163775550443165e-01,4.471045522806762484e-01,6.147349115478263348e-01
